127.0.0.1, 2016-07-24 11:36:20, GET, /plocme/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-07-24 11:36:22, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-07-24 11:36:22, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-07-24 11:36:23, GET, /plocme/plocme_manager/list_bubbles.xml, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-07-24 11:36:28, GET, /plocme/default/classification, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-07-24 11:36:29, GET, /plocme/default/contact, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-07-24 11:36:31, GET, /plocme/default/game, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-07-24 11:36:31, GET, /plocme/static/css/images/li.gif, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-07-24 11:36:34, GET, /plocme/default/game, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-07-24 11:36:36, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-07-24 11:36:37, GET, /plocme/plocme_manager/list_bubbles.xml, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-07-24 11:36:39, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-07-24 11:36:39, GET, /plocme/plocme_manager/list_bubbles.xml, HTTP/1.1, 200, 0.035000
127.0.0.1, 2016-07-24 11:38:29, GET, /plocme/default/classification, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-07-24 11:38:30, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-07-24 11:38:31, GET, /plocme/plocme_manager/list_bubbles.xml, HTTP/1.1, 200, 0.034000
127.0.0.1, 2016-07-24 11:38:34, GET, /plocme/default/download, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-07-24 11:39:23, GET, /plocme/default/download, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-07-24 11:39:24, GET, /plocme/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-07-24 11:40:18, GET, /plocme/plocme_manager/create_categories, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-07-24 11:40:20, GET, /plocme/plocme_manager/create_bubbles, HTTP/1.1, 200, 0.034000
127.0.0.1, 2016-07-24 11:40:28, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-07-24 11:40:29, GET, /plocme/plocme_manager/list_bubbles.xml, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-07-24 11:40:36, GET, /plocme/, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-07-24 11:40:40, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-07-24 11:40:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-07-24 11:40:42, GET, /plocme/, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-07-24 12:34:50, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-07-24 12:34:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-07-24 12:34:53, GET, /admin/default/site, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-07-24 12:34:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 12:34:58, GET, /admin/default/uninstall/plocme, HTTP/1.1, 200, 0.067000
127.0.0.1, 2016-07-24 12:34:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 12:35:01, POST, /admin/default/uninstall/plocme, HTTP/1.1, 303, 0.182000
127.0.0.1, 2016-07-24 12:35:01, GET, /admin/default/site, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-07-24 12:35:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 12:35:03, GET, /admin/default/uninstall/plocmegae, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-07-24 12:35:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 12:35:05, POST, /admin/default/uninstall/plocmegae, HTTP/1.1, 303, 0.150000
127.0.0.1, 2016-07-24 12:35:05, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-07-24 12:35:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/default/site, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 12:35:15, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 12:35:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 12:35:17, GET, /plocme/default/index, HTTP/1.1, 200, 0.365000
127.0.0.1, 2016-07-24 12:35:17, GET, /plocme/static/css/style.css?v=2, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-07-24 12:35:17, GET, /plocme/static/js/modernizr-1.6.min.js, HTTP/1.1, 200, 0.002000
